v0001, inference, is a conclusion you draw or come to it based on evidence(information already have) or reasoning.
v0002, sputtering, a) something such as a engine or a flame burns in an uneven way ~making a series of soft popping/explosive sounds b) to speak or spit out words or sounds in a confused/illogical way when someone is angry.
v0003, dingy, a) something that is dark~ dirty or dull in appearance b) a place that is shabby or in poor condition.
v0004, misgiving, someone feels that sth is wrong or that there is a problem with it and he is worried that may have unwanted results.
v0005, upbeat, a) someone who is cheerful and optimistic b) a situation that is positive and hopeful.
v0006, tip, a) the pointed end of something b) to give a small amount of money to someone for their service c) to give a piece of advice or information.
v0007, tip off, to give someone a secret or confidential piece of information
v0008, tip the balance, to cause a situation to change in a particular direction or outcome.
v0009, procrastinate, to delay or postpone doing something.
v0010, unanimous, a common decision or agreement that is made by everyone.
v0011, trouched, rubbish~junk~trash~the opponents
v0012, bewilderment, confused or puzzled often due to unexpected or complex situations.
v0013, affirmed, to say something and confirm that thing is true.
v0014, depicted, to depict someone or something means to show or represent them in a work of art such as a drawing or painting.
v0015, canister, a round or cylindrical container used for storing or transporting liquids.
v0016, tardy, a) someone who is late or delayed b) something is slow to happen or take place.
v0017, persistent, a) to press on and not give up easily. b) sth exists for a long time.
v0018, spontaneous, react naturally and without planning
v0019, listless, lacking energy or enthusiasm; feeling bored or uninterested.
v0020, restless, a state of unease; agitation; inability to relax or stay still.
v0021, indifferent, not showing any interest or concern; doesn't want to make a decision or take action.
v0022, lethargic, lacking energy or enthusiasm; feeling sluggish or drowsy.
v0023, get by, to manage to survive some difficulty to deal with a problem or situation.
v0024, get over, to recover from sickness or from an upsetting situation.
v0025, anticipate, to expect something to happen.
v0026, contemplate, to think through something deeply for a long time before making decision.
v0027, horse around, to act in playful or silly behavior.
v0028, hold your horses, to wait or be patient and consider carefully before making a decision.
v0029, take the bull by the horns, to do something difficult in a brave and determined manner.
v0030, to be like a bull in a china shop, to be clumsy or reckless in a delicate situation.
v0031, compel, to force someone to do something.
v0032, deter, to discourage or prevent someone from doing something.
v0033, mandatory, must do so as stated by law or rules; compulsory.
v0034, indispensable, absolutely necessary; essential; cannot do without it.
v0035, economical, something is worth its value ( value for money);
v0036, revert, a) to return to a original state or condition. b) to reply to someone when a question is asked.
v0037, confront, to face someone in a challenging or aggressive way.
v0038, contended with, to struggle against difficulties or challenges.
v0039, meticulous, exercise extreme care about details; very careful and precise.
v0040, bashful, shy or self-conscious; easily embarrassed.
v0041, jittery, nervous or unable to relax; anxious.
v0042, jubilant, feeling or expressing great joy usually due to a victorious win.
v0043, exhilarated, feeling extremely happy and excited.
v0044, renounced, formally declared one's abandonment of a claim or possession.
v0045, invalidated, made or prove an argument or statement to be incorrect or void.
v0046, relinquish, to give up one's position or right or claim to something.
v0047, compilation, the act of gathering information from various sources and assemble or bring it together.
v0048, lodging, temporary accommodation; often rented.
v0049, haggard, looking exhausted and unhappy especially from fatigue or worry.
v0050, pristine, something in its original condition; unspoiled; fresh and clean.
v0051, blemish, a small flaw that spoils the appearance or quality of something e.g. reputation.
v0052, immaculate, sb's dressing is perfectly clean; neat or tidy.
v0053, stagger, to walk or move unsteadily, as if about to fall.
v0054, staggering, deeply shocking; astonishing.
v0055, rekindle, to revive or ignite something again ~ such as a feeling or relationship.
v0056, reside, a) to rest one's power or right on sth/sb b) to stay at a place.
v0057, suppress, to put an end to a feeling; b) to do away with sth (practice) by authority or force;
v0058, picturesque, a) visually attractive & charming resembling or suitable for a painting. b) having pleasing or interesting qualities. c) about a speech or writing; vivid & detailed mental images created by a piece of essay
v0059, accede, a) to agree and give consent to a request or demand b) to take over a throne.
v0060, berate, to scold or criticize someone angrily.
v0061, falter, a) to hesitate or waver in action/purpose or intention b) to move unsteadily or stumble.
v0062, irk, to annoy or irritate someone.
v0063, puny, small in size; less strength and weak (usually a target for bullying).
v0064, quaver, to shake tremendously or tremble in speaking; typically through nervousness.
v0065, seize, a) to snatch with force b) to understand clearly and completely c) to take possession by legal authority.
v0066, aggrieve, injure by injustice (to cause pain & anxiety)
v0067, worthy cause, a cause that helps other and makes a positive impact.
v0068, to come up with, to devise or produce something ~ such as an idea or plan.
v0069, disclose, to make something known or reveal information.
v0070, conceived, a) to expect a baby b) to devise a plan or idea in the mind.
v0071, means, a method or way of doing sth; ability to do sth.
v0072, unwittingly, unknowingly; unintentionally.
v0073, confine, a) to keep a person or animal from leaving a place b) to restrict or limit something within certain boundaries.
v0074, chanced upon, to discover something by accident without intention
v0075, coherent, speaking or writing that is logically connected and consistent; can be easily understood.
v0076, a fish out of water, someone who is uncomfortable / unsuitable in his environment.
v0077, snake in the grass, a deceitful or treacherous person.
v0078, bear with a sore head, someone who is irritable or grumpy; often due to being in a bad mood that causes you to treat others badly. e.g "Don't bother him ~ he's like a bear with a sore head today." 
v0079, exasperated, intensely irritated and frustrated.
v0080, diligent, showing care and effort in one's work or duties
v0081, contented, feeling satisfied and at ease.
v0082, read between the lines, to understand the deeper or hidden meaning of something that is not immediately obvious.
v0083, unveiled, to remove a cover or reveal something that was previously hidden or unknown. e.g a plaque; normally used to commemorate an important event or person.
